,id,title,release_date,popularity,vote_average,vote_count
0,278,The Shawshank Redemption,1994-09-23,131.581,8.704,25992
1,238,The Godfather,1972-03-14,138.213,8.695,19710
2,240,The Godfather Part II,1974-12-20,92.884,8.6,11905
3,424,Schindler's List,1993-12-15,87.119,8.567,15303
4,389,12 Angry Men,1957-04-10,54.93,8.543,8186
5,129,Spirited Away,2001-07-20,108.793,8.5,15798
6,19404,Dilwale Dulhania Le Jayenge,1995-10-20,38.292,8.534,4366
7,155,The Dark Knight,2008-07-16,111.889,8.515,31773
8,496243,Parasite,2019-05-30,93.605,8.51,17418
9,497,The Green Mile,1999-12-10,98.647,8.506,16721
10,372058,Your Name.,2016-08-26,103.078,8.497,10904
11,680,Pulp Fiction,1994-09-10,136.488,8.489,26941
12,122,The Lord of the Rings: The Return of the King,2003-12-01,125.466,8.479,23268
13,13,Forrest Gump,1994-06-23,108.051,8.475,26467
14,429,"The Good, the Bad and the Ugly",1966-12-22,97.596,8.468,8206
15,769,GoodFellas,1990-09-12,88.696,8.466,12313
16,12477,Grave of the Fireflies,1988-04-16,0.6,8.464,5203
17,346,Seven Samurai,1954-04-26,42.21,8.454,3464
18,11216,Cinema Paradiso,1988-11-17,40.162,8.453,4174
19,637,Life Is Beautiful,1997-12-20,53.177,8.5,12672
20,1058694,Radical,2023-10-19,71.934,8.446,345
21,372754,Dou kyu sei – Classmates,2016-02-20,19.027,8.4,348
22,704264,Primal: Tales of Savagery,2019-11-21,13.203,8.4,303
23,550,Fight Club,1999-10-15,107.911,8.441,28364
24,539,Psycho,1960-06-22,82.534,8.435,9683
25,157336,Interstellar,2014-11-05,236.4,8.433,34091
26,598,City of God,2002-08-30,59.44,8.43,7019
27,696374,Gabriel's Inferno,2020-05-29,13.645,8.4,2391
28,667257,Impossible Things,2021-06-17,11.407,8.4,371
29,510,One Flew Over the Cuckoo's Nest,1975-11-19,53.873,8.422,10053
30,311,Once Upon a Time in America,1984-05-23,49.105,8.423,5136
31,255709,Hope,2013-10-02,18.534,8.4,652
32,120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,151.694,8.412,24218
33,4935,Howl's Moving Castle,2004-09-09,118.716,8.411,9361
34,724089,Gabriel's Inferno: Part II,2020-07-31,12.543,8.4,1500
35,324857,Spider-Man: Into the Spider-Verse,2018-12-06,105.584,8.405,14906
36,568332,Taylor Swift: Reputation Stadium Tour,2018-12-31,25.535,8.4,360
37,40096,A Dog's Will,2000-09-15,12.707,8.4,1051
38,761053,Gabriel's Inferno: Part III,2020-11-19,29.376,8.4,1043
39,121,The Lord of the Rings: The Two Towers,2002-12-18,96.155,8.394,21040
40,1891,The Empire Strikes Back,1980-05-20,40.112,8.39,16355
41,620249,The Legend of Hei,2019-08-27,20.366,8.4,335
42,1160164,TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,53.865,8.386,321
43,14537,Harakiri,1962-09-15,30.802,8.385,916
44,244786,Whiplash,2014-10-10,97.12,8.383,14531
45,423,The Pianist,2002-09-17,45.764,8.382,8804
46,378064,A Silent Voice: The Movie,2016-09-17,53.289,8.38,3756
47,569094,Spider-Man: Across the Spider-Verse,2023-05-31,215.88,8.373,6135
48,807,Se7en,1995-09-22,119.18,8.373,20217
49,27205,Inception,2010-07-15,166.808,8.367,35556
50,820067,The Quintessential Quintuplets Movie,2022-05-20,36.599,8.4,355
51,567,Rear Window,1954-08-01,32.471,8.351,6203
52,274,The Silence of the Lambs,1991-02-14,17.799,8.347,15678
53,73,American History X,1998-07-01,48.094,8.346,11154
54,128,Princess Mononoke,1997-07-12,81.562,8.338,7634
55,914,The Great Dictator,1940-10-15,36.954,8.325,3197
56,92321,Hotarubi no Mori e,2011-09-17,0.6,8.3,1056
57,644479,Dedicated to my ex,2019-11-01,10.814,8.3,494
58,18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,49.624,8.3,1485
59,105,Back to the Future,1985-07-03,91.814,8.317,19186
60,599,Sunset Boulevard,1950-08-10,33.606,8.3,2449
61,207,Dead Poets Society,1989-06-02,59.447,8.313,10759
62,1139087,Once Upon a Studio,2023-09-24,34.161,8.3,317
63,101,Léon: The Professional,1994-09-14,86.354,8.31,14247
64,693134,Dune: Part Two,2024-02-27,4004.451,8.306,2873
65,12493,High and Low,1963-03-01,24.156,8.304,817
66,3782,Ikiru,1952-10-09,19.335,8.3,1049
67,10494,Perfect Blue,1998-02-28,46.591,8.3,2388
68,3082,Modern Times,1936-02-05,24.783,8.293,3546
69,335,Once Upon a Time in the West,1968-12-21,56.977,8.3,4107
70,995133,"The Boy, the Mole, the Fox and the Horse",2022-12-25,28.561,8.289,489
71,901,City Lights,1931-02-01,24.606,8.3,2057
72,28,Apocalypse Now,1979-08-15,53.054,8.283,7850
73,29259,Le Trou,1960-03-18,19.245,8.3,433
74,77338,The Intouchables,2011-11-02,68.781,8.28,16718
75,16672,Woman in the Dunes,1964-02-15,25.956,8.3,387
76,447362,Life in a Year,2020-11-27,58.231,8.277,1752
77,1585,It's a Wonderful Life,1946-12-20,51.097,8.3,4099
78,975,Paths of Glory,1957-10-25,24.225,8.271,2736
79,527641,Five Feet Apart,2019-03-14,47.575,8.3,5406
80,632632,Given,2020-08-22,16.213,8.269,374
81,637920,Miracle in Cell No. 7,2019-10-10,33.051,8.3,4302
82,25237,Come and See,1985-10-17,32.382,8.3,1348
83,652837,"Josee, the Tiger and the Fish",2020-12-25,35.79,8.3,422
84,533514,Violet Evergarden: The Movie,2020-09-18,32.543,8.3,389
85,10376,The Legend of 1900,1998-10-28,27.413,8.3,2170
86,670,Oldboy,2003-11-21,47.547,8.26,8241
87,8587,The Lion King,1994-06-24,123.405,8.257,17613
88,299534,Avengers: Endgame,2019-04-24,121.17,8.256,24749
89,630566,Clouds,2020-10-09,23.571,8.3,980
90,508965,Klaus,2019-11-08,28.384,8.2,3848
91,299536,Avengers: Infinity War,2018-04-25,220.591,8.248,28761
92,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,35.733,8.2,749
93,572154,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,25.835,8.244,498
94,42269,We All Loved Each Other So Much,1974-12-21,8.28,8.2,508
95,490132,Green Book,2018-11-16,116.495,8.243,11079
96,618344,Justice League Dark: Apokolips War,2020-05-05,35.052,8.2,1405
97,315162,Puss in Boots: The Last Wish,2022-12-07,190.626,8.241,7189
98,265177,Mommy,2014-09-19,26.161,8.2,2633
99,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,87.472,8.231,3670
100,290098,The Handmaiden,2016-06-01,73.711,8.228,3519
101,504253,I Want to Eat Your Pancreas,2018-09-01,34.611,8.2,1462
102,361743,Top Gun: Maverick,2022-05-24,145.184,8.223,8498
103,110420,Wolf Children,2012-07-21,26.768,8.222,2187
104,16869,Inglourious Basterds,2009-08-02,84.691,8.217,21529
105,654299,Out of the Clear Blue Sky,2019-12-24,13.866,8.2,333
106,98,Gladiator,2000-05-04,88.272,8.216,17733
107,694,The Shining,1980-05-23,56.805,8.216,16843
108,603,The Matrix,1999-03-31,170.965,8.214,24732
109,522924,The Art of Racing in the Rain,2019-08-08,36.74,8.2,1407
110,857,Saving Private Ryan,1998-07-24,91.441,8.213,15210
111,354912,Coco,2017-10-27,119.956,8.212,18704
112,37257,Witness for the Prosecution,1957-12-17,26.156,8.2,1304
113,441130,Wolfwalkers,2020-10-26,28.784,8.21,1107
114,284,The Apartment,1960-06-21,29.054,8.2,2152
115,537061,Steven Universe: The Movie,2019-09-02,31.999,8.2,806
116,185,A Clockwork Orange,1971-12-19,51.49,8.207,12407
117,1124,The Prestige,2006-10-19,69.015,8.204,15366
118,11,Star Wars,1977-05-25,172.037,8.204,19866
119,50014,The Help,2011-08-09,48.511,8.2,7842
120,20334,The Shop Around the Corner,1940-01-12,25.144,8.202,677
121,11324,Shutter Island,2010-02-14,87.781,8.202,23177
122,24188,Il Sorpasso,1962-12-05,13.909,8.199,677
123,5156,Bicycle Thieves,1948-11-24,22.25,8.201,2263
124,490,The Seventh Seal,1957-02-16,29.892,8.198,2825
